dis_no,seq,start,end,years,decade,decade_year,category,subcategory,type,subtype,event_name,country,iso,latitude,longitude,region,continent,deaths,affected,deaths_affected,random_x,random_y
1900-9002-CPV,1,1900,1900,0,1,0,Climatological,Drought,Drought,Drought,,Cape Verde Islands,CPV,16.002082,-24.013197,Western Africa,Africa,11000,,11000,0.507580829,0.14029575
1900-9001-IND,2,1900,1900,0,1,0,Climatological,Drought,Drought,Drought,,India,IND,20.593684,78.96288,Southern Asia,Asia,1250000,,1250000,0.441068778,0.097497817
1900-0003-USA,281,1900,1900,0,1,0,Meteorological,Storm,Storm,Tropical Cyclone,,United States,USA,37.09024,-95.712891,Northern America,Americas,6000,,6000,0.395984408,0.849629933
1900-0006-JAM,282,1900,1900,0,1,0,Hydrological,Flood,Flood,Flood,,Jamaica,JAM,18.109581,-77.297508,Caribbean,Americas,300,,300,0.74885179,0.836527515
1901-0001-UGA,283,1901,1901,0,1,1,Biological,Epidemic,Epidemic,Epidemic,,Uganda,UGA,1.373333,32.290275,Eastern Africa,Africa,200000,,200000,0.522417604,0.905886013
1902-0007-VCT,662,1902,1902,0,1,2,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Mount Soufriere,St. Vincent and Grenadines,VCT,12.984305,-61.287228,Caribbean,Americas,1565,,1565,0.096452991,0.96301747
1902-0003-GTM,4,1902,1902,0,1,2,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Santa Maria,Guatemala,GTM,15.783471,-90.230759,Central America,Americas,1000,,1000,0.343760755,0.696906712
1902-0010-GTM,5,1902,1902,0,1,2,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Santa Maria,Guatemala,GTM,15.783471,-90.230759,Central America,Americas,6000,,6000,0.979152367,0.8893621
1902-0012-GTM,3,1902,1902,0,1,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Guatemala,GTM,15.783471,-90.230759,Central America,Americas,2000,,2000,0.45331648,0.504854268
1902-0005-MMR,285,1902,1902,0,1,2,Meteorological,Storm,Storm,Tropical Cyclone,,Myanmar,MMR,21.913965,95.956223,South-Eastern Asia,Asia,600,,600,0.490191451,0.385749139
1902-0011-SUN,286,1902,1902,0,1,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Russian Federation,RUS,61.52401,105.318756,Russian Federation,Europe,4562,125112,129674,0.32574812,0.552317125
1902-0014-CHN,2006,1902,1902,0,1,2,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,2500,,2500,0.800183124,0.78674825
1903-0007-TUR,287,1903,1903,0,1,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,3560,60000,63560,0.728819218,0.370306075
1903-0003-USA,663,1903,1903,0,1,3,Hydrological,Flood,Flood,Flood,,United States,USA,37.09024,-95.712891,Northern America,Americas,250,,250,0.145351163,0.828431732
1903-0016-IRN,2050,1903,1903,0,1,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,350,,350,0.884598291,0.812271713
1903-0013-TUR,2121,1903,1903,0,1,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,1700,,1700,0.896410249,0.603462044
1903-0015-TUR,2122,1903,1903,0,1,3,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,1000,,1000,0.649307509,0.30863635
1905-0003-IND,6,1905,1905,0,1,5,Geophysical,Earthquake,Earthquake,Ground Movement,,India,IND,20.593684,78.96288,Southern Asia,Asia,20000,,20000,0.599323718,0.542824419
1905-0001-ITA,288,1905,1905,0,1,5,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,557,22100,22657,0.27751546,0.388094159
1905-0004-PHL,289,1905,1905,0,1,5,Meteorological,Storm,Storm,Tropical Cyclone,,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,240,,240,0.037309312,0.957371785
1906-0012-ITA,291,1906,1906,0,1,6,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Mt. Vesuve,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,700,,700,0.055473709,0.120077036
1906-0014-CHL,7,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Chile,CHL,-35.675147,-71.542969,South America,Americas,20000,,20000,0.505186613,0.195112692
1906-0002-COL,8,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Colombia,COL,4.570868,-74.297333,South America,Americas,400,,400,0.587823264,0.422400009
1906-0015-HKG,9,1906,1906,0,1,6,Meteorological,Storm,Storm,Tropical Cyclone,,Hong Kong (SAR China),HKG,22.396428,114.109497,Eastern Asia,Asia,10000,,10000,0.144605353,0.667654254
1906-0013-USA,290,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,United States,USA,37.09024,-95.712891,Northern America,Americas,700,84564,85264,0.262773117,0.122413586
1906-0001-TWN,292,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,Taiwan,TWN,23.69781,120.960515,Eastern Asia,Asia,1258,20452,21710,0.430661337,0.172733983
1906-0029-CHN,2008,1906,1906,0,1,6,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,280,10000,10280,0.58316634,0.79462867
1907-0001-IND,11,1907,1907,0,1,7,Biological,Epidemic,Epidemic,Bacterial Disease,Bubonic,India,IND,20.593684,78.96288,Southern Asia,Asia,1300000,,1300000,0.861635514,0.891961736
1907-0006-CHN,10,1907,1907,0,1,7,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,12000,,12000,0.612448654,0.240794844
1907-0004-JAM,295,1907,1907,0,1,7,Geophysical,Earthquake,Earthquake,Ground Movement,,Jamaica,JAM,18.109581,-77.297508,Caribbean,Americas,1200,90000,91200,0.060489034,0.94629708
1908-0007-ITA,296,1908,1908,0,1,8,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,75000,150000,225000,0.970278253,0.788800722
1909-0001-CHN,13,1909,1909,0,1,9,Biological,Epidemic,Epidemic,Bacterial Disease,Bubonic,China,CHN,35.86166,104.195397,Eastern Asia,Asia,1500000,,1500000,0.703618042,0.176081636
1909-0007-IRN,297,1909,1909,0,1,9,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,5000,,5000,0.297662007,0.215577489
1909-0003-USA,299,1909,1909,0,1,9,Meteorological,Storm,Storm,Tropical Cyclone,,United States,USA,37.09024,-95.712891,Northern America,Americas,350,,350,0.34309911,0.840365556
1909-0022-PAK,2051,1909,1909,0,1,9,Geophysical,Earthquake,Earthquake,Ground Movement,,Pakistan,PAK,30.375321,69.345116,Southern Asia,Asia,231,,231,0.114892489,0.247395038
1910-0001-CHN,15,1910,1910,0,2,0,Biological,Epidemic,Epidemic,Bacterial Disease,Pneumonic,China,CHN,35.86166,104.195397,Eastern Asia,Asia,60000,,60000,0.893813057,0.056071985
1910-0004-CRI,16,1910,1910,0,2,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Costa Rica,CRI,9.748917,-83.753428,Central America,Americas,1750,,1750,0.347216976,0.962121856
1910-0019-JPN,300,1910,1910,0,2,0,Hydrological,Flood,Flood,Flood,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,1379,,1379,0.791557824,0.211486351
1910-9006-NER,301,1910,1914,4,2,0,Climatological,Drought,Drought,Drought,,Niger,NER,17.607789,8.081666,Western Africa,Africa,85000,32000,117000,0.049738888,0.997944312
1910-0024-CRI,2009,1910,1910,0,2,0,Geophysical,Earthquake,Earthquake,Ground Movement,,Costa Rica,CRI,9.748917,-83.753428,Central America,Americas,700,,700,0.190678937,0.238461636
1911-0001-PHL,302,1911,1911,0,2,1,Geophysical,Volcanic_Activity,Volcanic Activity,Ash Fall,Mount Taal,Philippines,PHL,12.879721,121.774017,South-Eastern Asia,Asia,1335,199,1534,0.096864206,0.825250015
1911-0002-CHN,17,1911,1911,0,2,1,Hydrological,Flood,Flood,Riverine Flood,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,100000,,100000,0.086130357,0.053591255
1911-0006-TWN,303,1911,1911,0,2,1,Meteorological,Storm,Storm,Tropical Cyclone,,Taiwan,TWN,23.69781,120.960515,Eastern Asia,Asia,1000,,1000,0.973524622,0.906879141
1911-0022-IRN,2052,1911,1911,0,2,1,Geophysical,Earthquake,Earthquake,Ground Movement,,Iran,IRN,32.427908,53.688046,Southern Asia,Asia,700,,700,0.447993336,0.883104377
1911-0020-KAZ,2053,1911,1911,0,2,1,Geophysical,Earthquake,Earthquake,Ground Movement,,Kazakhstan,KAZ,48.019573,66.923684,Central Asia,Asia,450,,450,0.455367755,0.827823186
1912-0005-CHN,18,1912,1912,0,2,2,Meteorological,Storm,Storm,Tropical Cyclone,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,50000,,50000,0.881549141,0.262253443
1912-0006-TUR,304,1912,1912,0,2,2,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,923,18195,19118,0.488352449,0.302969567
1912-0008-JPN,306,1912,1912,0,2,2,Meteorological,Storm,Storm,Tropical Cyclone,,Japan,JPN,36.204824,138.252924,Eastern Asia,Asia,1000,,1000,0.787797651,0.715456827
1913-0005-USA,308,1913,1913,0,2,3,Meteorological,Storm,Storm,Convective Storm,,United States,USA,37.09024,-95.712891,Northern America,Americas,732,,732,0.912633784,0.04028752
1913-0028-CHN,2010,1913,1913,0,2,3,Geophysical,Earthquake,Earthquake,Ground Movement,,China,CHN,35.86166,104.195397,Eastern Asia,Asia,942,112,1054,0.325611412,0.953619029
1914-0029-TUR,2124,1914,1914,0,2,4,Geophysical,Earthquake,Earthquake,Ground Movement,,Turkey,TUR,38.963745,35.243322,Western Asia,Asia,4000,51700,55700,0.535955437,0.787955999
1915-0006-HTI,19,1915,1915,0,2,5,Meteorological,Storm,Storm,Tropical Cyclone,,Haiti,HTI,18.971187,-72.285215,Caribbean,Americas,1600,,1600,0.88797589,0.004208676
1915-0002-ITA,310,1915,1915,0,2,5,Geophysical,Earthquake,Earthquake,Ground Movement,,Italy,ITA,41.87194,12.56738,Southern Europe,Europe,29980,,29980,0.279038115,0.295997904
1915-0005-USA,311,1915,1915,0,2,5,Meteorological,Storm,Storm,Tropical Cyclone,,United States,USA,37.09024,-95.712891,Northern America,Americas,525,,525,0.613828053,0.406930959
1916-0004-IND,20,1916,1916,0,2,6,Meteorological,Storm,Storm,Tropical Cyclone,,India,IND,20.593684,78.96288,Southern Asia,Asia,300,,300,0.056803258,0.128566902
